taxroll_number,effective_build_year,net_area,basement_finished,has_fireplace,assessed_value,fully_complete,lot_size,walkout_basement,air_conditioning,site_coverage,lon,lat,valuation_group_residential.south
10067237,2010,338.1,0,1,944500,0,893.253,0,0,0.29,-113.5619844,53.43781497,1
10222411,2014,267.4,0,1,801500,1,638.605,0,1,0.33,-113.5535333,53.44238459,1
10222479,2012,261.2,0,1,767500,1,629.726,0,0,0.27,-113.554351,53.44232474,1
10222412,2011,268.1,0,1,771000,1,563.048,0,1,0.31,-113.5535369,53.44222735,1
10222478,2012,299.9,1,1,842000,1,558.909,0,1,0.34,-113.5543393,53.44217194,1
10222413,2011,268.6,0,1,756500,1,566.205,0,0,0.29,-113.5535384,53.44208807,1
10222477,2013,267.2,0,1,761000,1,494.906,0,0,0.37,-113.5543291,53.44203711,1
10222414,2011,289.8,1,1,1013500,1,592.164,0,1,0.35,-113.5535399,53.44194879,1
10222476,2013,238.7,0,1,726500,1,497.286,0,0,0.34,-113.5543333,53.44190233,1
10222475,2013,271.8,0,1,852000,1,532.933,0,0,0.34,-113.5543546,53.44177211,1
10222474,2012,271.4,1,1,888500,1,548.346,0,1,0.32,-113.5543652,53.44164185,1
10222473,2012,272,1,1,879500,1,548.332,0,0,0.31,-113.554368,53.44151156,1
10222472,2011,268.1,1,1,809000,1,548.319,0,0,0.32,-113.554371,53.44137678,1
10222471,2014,240.3,0,1,736500,1,548.307,0,0,0.31,-113.5543739,53.44124649,1
10222470,2012,272.3,0,1,765500,1,548.295,0,0,0.31,-113.5543768,53.4411162,1
10222469,2013,303.5,1,1,940000,1,599.831,0,0,0.33,-113.5543801,53.44097693,1
10222422,2014,279.9,0,1,663500,0,759.483,0,0,0.25,-113.5535723,53.44077622,1
10222425,2013,276.7,1,1,1196500,1,986.552,0,1,0.22,-113.5538024,53.44031429,1
10222441,2013,181.5,1,1,935500,1,796.207,0,0,0.33,-113.5544811,53.44060888,1
10222440,2012,257.2,1,1,801500,1,577.157,0,0,0.34,-113.5547267,53.44052892,1
